,,上险看实际持有，销量看企业运营策略,,,,,,,,中汽协-月报-汽车工业产销,汽车产销总量、价格分档销量，内销/出口：NEV=BEV+PHEV、乘用车/商用车，top15：总、NEV,,,,,,,,,,,,,,,崔东树-商用车-月报：中重卡、轻卡，上险量、NEV渗透率，2023年5月开始,,,乘联会-轻商-月报：科瑞咨询，总销量，含出口,,,,,,,,,,,,,,,交通运输部-行业发展统计公报,,,,,,,乘联会-乘用车-NEV月报：ways，国内零售纯电,,,,,,,,,,,,,,,,,乘联会-NEV深度月报：国内零售，价格10万级分档，比乘用车月报晚1-2周、数据同源,,,,,,,https://www.cpcaauto.com/newslist.php?types=csjd&id=4123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=Mzg4MzIyNjE2OQ==&action=getalbum&album_id=1795919013064081412&subscene=126&scenenote=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzg4MzIyNjE2OQ%3D%3D%26mid%3D2247508121%26idx%3D1%26sn%3D579b3a4ff8b5edc88ca15362b2bbcf58%26chksm%3Dce3cd6950def49befed22c053730974bf4a8bf492be69972841309991ae6936854cbf792973c%26sessionid%3D1786233052%26scene%3D126%26subscene%3D7%26clicktime%3D1786243121%26enterid%3D1786243121%26search_click_id%3D11496628348554365718-1786242713824-5717245421%26ascene%3D3%26fasttmpl_type%3D0%26fasttmpl_fullversion%3D8380185-zh_CN-zip%26fasttmpl_flag%3D0%26realreporttime%3D1786243121133%26devicetype%3Dandroid-34%26version%3D28004c3c%26nettype%3DWIFI%26abtest_cookie%3DAAACAA%253D%253D%26lang%3Dzh_CN%26countrycode%3DMG%26exportkey%3Dn_ChQIAhIQn0EbpiiPD4wFgLlL8GpwqxLWAQIE97dBBAEAAAAAAKwJMLIkTZwAAAAOpnltbLcz9gKNyK89dVj0Ft1SMd4mHaQEThtUqaM23pKUBJlVOvbIftjlBJ5JGgVML0CXUpJMnn0y%252FAx8kVHTFWtJ53fmz2PcJEGaPyAfqZwi64aHJfkoruwkKDEk%252BeOx9jr0r3XnFBSM85xV%252FSyaTu0L1cl48Vs%252FlqVn6l2WkIrXQCJojl9CRDkQWOGWunhFHHYP2GJKYkbB%252BFTDB1fHr4NZcmliljKK%252BJU8mUvP%252BfhozhThcfms93EUNDIUNGU%253D%26pass_ticket%3DMbC6VRbbwG4kW1oTL1xkzLlV3yjoUf%252BbL36xppXpMxE1QuDZ18u9asLwPjMNlTAS%26wx_header%3D3&nolastread=1#wechat_redirect,,,,,,汽车,,,,,,,,,,,,,,,,,,中卡被重卡经济性取代，重卡占比？,,,,,,,,,,,,,营运车,,,,,,,,,,,,私家车,价格分档：含出口,,,,,,,,,,,,,,,,,价格分档：国内零售,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,项目,时间,情景,单位,计算公式，车辆精确到百万辆,来源,总,上牌量-公安部交管局,总-中汽协,纯电,插混,燃料电池,商用车=货车+客车,货车,客车,皮卡∈货车,天然气,重货,中货,轻货,微货,大中客,轻客,乘用车,中重卡,轻卡,轻客,轻商,轻卡,微卡,轻客,营运车,重卡,轻卡,taxi,非营运小车=私家车+公车（忽略）,,商用车=重卡+物流+客运,taxi=有司机+robotaxi,重卡,物流车=轻卡+微面+轻客+专用车（忽略）,公交+客车,公交,客车,货车（载货汽车=候车+挂车+牵引车，基本各1/3）,出租车+网约车,出租车,robotaxi,,私家车合计-中汽协,私家车<8万,私家车8-15万,私家车>15万,私家车8-10万,私家车10-15万,私家车15-20万,私家车20-25万,私家车25-30万,私家车30-35万,私家车35-40万,私家车40-59万,私家车>50万,私家车<10万,私家车10-20万,私家车>20万,趋势观察,乘用车合计-乘联会,乘用车<10万,乘用车10-20万,乘用车>20万,乘用车20-30万,乘用车30-40万,乘用车>40万,TOP10,特斯拉,小米,零跑,小鹏,蔚来,理想,上汽,广汽,北汽,长城,奇瑞,长安,吉利,BYD,续航分布,尺寸分布,BEV/PHEV,销量排名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事实,汽车总销量,2025,,,,,,,,,,,429.6,372.3,57.4,60.9,,114.5,,,,,,,,,,290.3,202.4,43.1,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2026E,,,,,,,,,,,,,,,,,,,,,,,,,,295.1,203.7,44.6,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2026M1-5,,,,,,,,,,,,,,,,54.4,6.1,86.2,20.4,0.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2026H,,,,,,,,,,,229.7,201.9,27.8,34.3,14,66.1,7.5,105,23.4,5.4,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,数据源,,,,,,,,,,,三-3-商用车产销情况-首页，P17,三-3-商用车产销情况-货车，P18,三-3-商用车产销情况-客车，P19,三-3-商用车产销情况-皮卡，P20,三-3-商用车产销情况-首页，P17,三-3-商用车产销情况-货车，P18,三-3-商用车产销情况-货车，P18,三-3-商用车产销情况-货车，P18,三-3-商用车产销情况-货车，P18,三-3-商用车产销情况-客车，P19,三-3-商用车产销情况-客车，P19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事实,汽车内销量,2023,,,,,,2456,2518.4,,,,326.1,,,,,,,,,,,2192.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,,,,,,2690,2557.7,,,,296.9,258.5,38.4,,,,,,,,,2260.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
