换电规模测算逻辑表（2026–2030）,,,,,,,,,,,,,,,,,,
数据项,公式 / 计算逻辑,单位,数值,数据来源 / 备注,,,,,,,,,,,,,,
总换电装机规模,存量换电规模+增量换电规模,万kWh,25840,,,,,,,,,,,,,,,
总换电车辆规模,HDT NEV存量车辆数+HDT NEV增量车辆数,万辆,52,,,,,,,,,,,,,,,
存量换电装机规模（2025年已售车辆）,单车带电量 × HDT NEV存量车辆数,万kWh,840,,,,,,,,,,,,,,,
▸ 单车带电量,,kWh,420,GGII,,,,,,,,,,,,,,
▸ HDT NEV存量车辆数,2025 HDT NEV销量 × 换电渗透率 × CATL市占率,万辆,2,2.3万→取整2万,,,,,,,,,,,,,,
 └ 2025 HDT NEV销量,(手动输入),万辆,23,GGII / 第一商用车网（22.4~23.11万）2个数据源取中值,,,,,,,,,,,,,,
 └ 换电渗透率,(手动输入),,0.2,存量阶段，较低，20%,,,,,,,,,,,,,,
 └ CATL市占率,(手动输入),,0.5,全阶段一致，50%,,,,,,,,,,,,,,
增量换电装机规模（2026–2030年新车）,单车带电量 × HDT NEV增量车辆数,万kWh,25000,,,,,,,,,,,,,,,
▸ 单车带电量,(手动输入),kWh,500,随容量/续航提升（JP Morgan预测）,,,,,,,,,,,,,,
▸ HDT NEV增量车辆数,新能源重卡总销量 × 换电渗透率 × CATL市占率,万辆,50,,,,,,,,,,,,,,,
 └ 新能源重卡总销量（2026-2030）,重卡总销量 × NEV平均渗透率,辆,210,,,,,,,,,,,,,,,
    └ 重卡总销量（2026-2030）,平均年销量 × 5年,,500,,,,,,,,,,,,,,,
       └ 平均年销量,保有量➗更新周期,万辆,100,如果按900/9=90，按800/10=80，平均年销量在80-100，中国重汽董事长预测2030年HDT销量为90,,,,,,,,,,,,,,
          └ 保有量,,万辆,900,政策2030年保有量，2025年保有量860，物流需求增加、智能化带来的调度效率提升会降低一部分需求、国七推广及国五淘汰会增加一部分需求，综合作用下，保有量会在900万辆左右,,,,,,,,,,,,,,
          └ 更新周期,,年,9,历史数据是8-10年，取中位数,,,,,,,,,,,,,,
       └ NEV平均渗透率（2026-2030）,,,0.42,从2025年到2030年是S型增长曲线，插值法设定各年数据,,,,,,,,,,,,,,
          └ 2025,,,0.25,基准年，S型曲线起点,,,,,,,,,,,,,,
          └ 2026,,,0.32,插值,,,,,,,,,,,,,,
          └ 2027,,,0.38,插值,,,,,,,,,,,,,,
          └ 2028,,,0.43,插值,,,,,,,,,,,,,,
          └ 2029,,,0.47,插值,,,,,,,,,,,,,,
          └ 2030,,,0.5,政策目标40%，JP Morgan分析一般会高于政策，取50%，中国重汽董事长预测2030年NEV渗透率50%,,,,,,,,,,,,,,
 └ 换电渗透率（增量阶段）,(手动输入),,0.5,高于存量阶段（20%），提升至50%,,,,,,,,,,,,,,
 └ CATL市占率,(手动输入),,0.5,全阶段一致，50%,,,,,,,,,,,,,,
 └ CATL市占率,(手动输入),,0.5,全阶段一致，50%,,,,,,,,,,,,,,
