换电规模测算逻辑表（2026–2030，轻卡 LDT）,,,,,,,,,,,,,,,,,,
数据项,公式 / 计算逻辑,单位,数值,数据来源 / 备注,,,,,,,,,,,,,,
总换电装机规模,存量换电规模 + 增量换电规模,万kWh,=E5+E11,,,,,,,,,,,,,,,
总换电车辆规模,LDT NEV存量车辆数 + LDT NEV增量车辆数,万辆,=E6+E14,,,,,,,,,,,,,,,
存量换电装机规模（2025年及之前已售车辆）,单车带电量 × LDT NEV存量车辆数,万kWh,0,,,,,,,,,,,,,,,,
▸ 存量换电装机规模（结论）,2025年前换电轻卡尚未成规模上市，存量项视为0,万kWh,0,依据：江淮巧克力换电轻卡2025/7才联调成功、2026/6才发四款车型；中燃400余站2026/8才开放。2025年前无成规模换电轻卡在售，存量换电装机近乎为0。与HDT不同——重卡换电早有运营（存量渗透率给20%），轻卡换电是“从零起步的新增量”,,,,,,,,,,,,,,
▸ 单车带电量(存量),(手动输入),kWh,81,巧克力换电版81度（江淮EV5/恺达EX6/坤鹏ET9），文档第208行,,,,,,,,,,,,,,,
▸ LDT NEV存量车辆数,2025 LDT NEV销量 × 换电渗透率 × CATL市占率,万辆,0,2025年轻卡电动化才约10%且整体未大规模替换（文档第11、49、99行），换电轻卡2025年前未上市，故存量换电车辆≈0,,,,,,,,,,,,,,,,
 └ 2025 LDT NEV销量,(外部信源，待填),万辆,0,外部信源：中汽协/乘联会轻卡销量 × 约10% NEV渗透率；本项为分母，不可自证，须外部获取,,,,,,,,,,,,,,,
 └ 换电渗透率(存量),(手动输入),,0,存量阶段换电轻卡未上市，取0,,,,,,,,,,,,,,,
 └ CATL市占率,(手动输入),,0.5,全阶段一致，50%（沿用HDT假设）,,,,,,,,,,,,,,,
增量换电装机规模（2026–2030年新车）,单车带电量 × LDT NEV增量车辆数,万kWh,=E12*E14,,,,,,,,,,,,,,,,
▸ 单车带电量（增量）,(手动输入),kWh,81,巧克力换电版81度；轻卡无重卡420-500kWh的大电量需求（文档第125、208行）,,,,,,,,,,,,,,,
▸ LDT NEV增量车辆数,新能源轻卡总销量 × 换电占比 × CATL市占率,万辆,=E15*E20*E21,,,,,,,,,,,,,,,
 └ 新能源轻卡总销量（2026-2030）,轻卡总销量 × NEV平均渗透率,万辆,=E16*E18,,,,,,,,,,,,,,,
    └ 轻卡总销量（2026-2030）,平均年销量 × 5年,万辆,=E17*5,,,,,,,,,,,,,,,
       └ 平均年销量,(外部信源，待填),万辆,,外部信源：中汽协轻卡年销量（约200万辆级，待核实）；本项为分母，不可自证，须外部获取,,,,,,,,,,,,,,,
       └ 更新周期,轻卡约8-10年,年,9,历史经验，取中位数（轻卡保有量/更新周期≈年销量，用于交叉校验）,,,,,,,,,,,,,,,
    └ NEV平均渗透率（2026-2030）,,,=AVERAGE(E23:E27),从2025年到2030年S型增长曲线，插值法设定各年数据,,,,,,,,,,,,,,,
       └ 2025,,,0.1,基准年，轻卡电动化约10%（文档第11行）,,,,,,,,,,,,,,,
       └ 2026,,,0.15,插值,,,,,,,,,,,,,,,
       └ 2027,,,0.22,插值,,,,,,,,,,,,,,,
       └ 2028,,,0.3,插值,,,,,,,,,,,,,,,
       └ 2029,,,0.38,插值,,,,,,,,,,,,,,,
       └ 2030,,,0.45,插值（轻卡渗透节奏滞后于重卡，低于重卡50%目标）,,,,,,,,,,,,,,,
 └ 换电占比（增量阶段）,(里程分布倒推，非手动输入),,0.225,由里程分布表倒推：200-300km(20%)高频子集约10% + 300-400km(10%)约10% + 400km以上(<1%)≈2.5%，合计约22.5%；对应文档第62、139-141、178行“20-25%走换电”。注意：这是轻卡整体换电占比，非HDT手动给的50%,,,,,,,,,,,,,,,
 └ CATL市占率,(手动输入),,0.5,全阶段一致，50%（沿用HDT假设）,,,,,,,,,,,,,,,
说明1,存量可视为0的核心原因,文本,轻卡换电是2026年才起步的新增量，2025年前无成规模换电轻卡在售；与HDT“存量20%”不同，轻卡只需算增量一项,,,,,,,,,,,,,,,
说明2,与HDT测算的关键差异,文本,①单车带电量81kWh(非420-500kWh)；②换电占比20-25%由里程分布倒推(非手动50%)；③存量项归零,,,,,,,,,,,,,,,
说明3,分母外部信源纪律,文本,轻卡总销量、NEV渗透率曲线、里程分布均须来自中汽协/乘联会/上险/券商研报等独立信源，不可用模型自身推导数字自证（记忆ID 86332462）,,,,,,,,,,,,,,,
